,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csd_con_ROIv_scale125,no_norm,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.690476190476,0.18653269586,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.95,0.134112307829,"[ 0.45833333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.79166667  0.625       1.
  0.91666667  1.          1.          1.          0.875       1.          1.
  0.83333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.95833333  1.
  0.79166667  1.          1.          1.          1.          1.
  0.91666667  1.          1.          1.        ]"
1,IPCAS_1_proba_csd_con_ROIv_scale125,no_norm,bag_of_edges,standard,SGD,0.769230769231,0.0965067339524,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.758181818182,0.0563636363636,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273  0.81818182
  0.72727273  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273
  0.72727273  0.72727273  0.63636364  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.72727273  0.90909091  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.90909091
  0.72727273  0.72727273]",0.745421245421,0.215024087136,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.945833333333,0.122828358108,"[ 0.54166667  1.          1.          1.          0.83333333  1.          1.
  1.          1.          1.          0.375       1.          1.          1.
  1.          1.          1.          0.83333333  0.83333333  1.          1.
  1.          1.          1.          0.75        1.          1.
  0.83333333  0.91666667  1.          1.          1.          0.91666667
  1.          1.          1.          1.          1.          0.91666667
  1.          0.75        1.          1.          1.          1.          1.
  1.          1.          0.79166667  1.        ]"
2,IPCAS_1_proba_csd_con_ROIv_scale125,no_norm,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.738782051282,0.209363146307,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.941666666667,0.136167788653,"[ 0.45833333  0.95833333  1.          1.          0.75        1.          1.
  1.          1.          1.          0.375       1.          0.95833333
  1.          1.          1.          1.          0.70833333  0.625       1.
  0.875       0.95833333  1.          0.91666667  0.75        1.          1.
  1.          1.          1.          1.          1.          0.91666667
  1.          1.          1.          1.          1.          0.83333333
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.        ]"
3,IPCAS_1_proba_csd_con_ROIv_scale125,no_norm,degrees,standard,SGD,0.807692307692,0.0610949440963,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.889090909091,0.0896088838571,"[ 0.81818182  0.90909091  0.90909091  0.81818182  0.81818182  0.81818182
  1.          0.90909091  1.          0.90909091  0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  0.81818182  1.          0.63636364
  0.72727273  0.81818182  0.81818182  0.90909091  0.90909091  0.81818182
  0.72727273  1.          1.          0.90909091  1.          1.
  0.81818182  0.90909091  0.81818182  1.          1.          0.81818182
  1.          1.          0.81818182  1.          0.90909091  0.90909091
  1.          0.81818182  1.          0.90909091  0.81818182  0.90909091
  0.72727273  0.81818182]",0.831158424908,0.204950388317,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9525,0.122477322164,"[ 0.41666667  1.          1.          1.          0.91666667  0.875       1.
  1.          1.          1.          0.45833333  1.          1.          1.
  1.          1.          1.          0.75        0.95833333  1.
  0.91666667  1.          1.          1.          0.875       1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.83333333  1.          1.
  1.          1.          1.          1.          1.          0.70833333
  1.          0.91666667  1.        ]"
4,IPCAS_1_proba_csd_con_ROIv_scale125,no_norm,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.696886446886,0.241315353219,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.9025,0.127369213967,"[ 0.66666667  0.95833333  1.          0.95833333  0.79166667  0.79166667
  1.          1.          0.95833333  1.          0.58333333  1.          0.625
  1.          0.83333333  1.          1.          0.75        0.625       0.875
  0.95833333  1.          1.          0.83333333  0.54166667  1.          1.
  0.91666667  0.91666667  0.95833333  0.83333333  1.          0.875
  0.91666667  1.          1.          1.          1.          0.70833333
  0.91666667  0.70833333  0.91666667  0.83333333  0.95833333  0.95833333
  1.          1.          0.95833333  1.          1.        ]"
5,IPCAS_1_proba_csd_con_ROIv_scale125,no_norm,closeness_centrality,standard,SGD,0.846153846154,0.0553189630739,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.887272727273,0.0882520807237,"[ 0.81818182  0.90909091  1.          0.81818182  0.90909091  0.72727273
  0.90909091  0.81818182  0.90909091  1.          0.81818182  0.81818182
  0.72727273  1.          0.81818182  0.90909091  1.          0.81818182
  0.72727273  0.81818182  0.72727273  0.90909091  1.          0.72727273
  0.81818182  1.          1.          1.          0.90909091  0.90909091
  0.90909091  0.90909091  0.81818182  1.          1.          0.81818182
  1.          0.90909091  0.81818182  1.          0.81818182  0.90909091
  0.81818182  1.          0.90909091  1.          0.81818182  0.90909091
  0.81818182  0.90909091]",0.744963369963,0.240615622475,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.949166666667,0.100100643799,"[ 0.70833333  1.          1.          1.          0.91666667  1.
  0.95833333  1.          1.          1.          0.5         0.91666667
  0.91666667  1.          1.          1.          1.          0.79166667
  0.83333333  1.          0.83333333  1.          1.          1.
  0.66666667  1.          1.          1.          1.          1.          1.
  1.          0.91666667  1.          1.          1.          1.          1.
  0.95833333  1.          0.875       1.          0.91666667  1.          1.
  1.          0.875       1.          0.875       1.        ]"
6,IPCAS_1_proba_csd_con_ROIv_scale125,no_norm,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.662202380952,0.197676394406,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.936666666667,0.147723465374,"[ 0.33333333  1.          1.          1.          1.          1.          1.
  0.95833333  1.          1.          0.33333333  0.91666667  1.          1.
  1.          1.          1.          0.83333333  0.70833333  1.
  0.83333333  1.          1.          1.          0.75        1.          1.
  0.875       1.          1.          1.          1.          0.75        1.
  1.          1.          1.          1.          0.70833333  1.
  0.83333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
7,IPCAS_1_proba_csd_con_ROIv_scale125,no_norm,betweenness_centrality,standard,SGD,0.788461538462,0.0348005064552,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.869090909091,0.0947550125149,"[ 0.81818182  0.90909091  1.          0.72727273  0.81818182  0.90909091
  1.          0.81818182  0.90909091  0.81818182  0.72727273  0.90909091
  0.72727273  1.          0.81818182  1.          1.          0.72727273
  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091
  0.81818182  1.          0.90909091  0.63636364  0.90909091  0.90909091
  0.72727273  0.81818182  0.81818182  0.90909091  1.          0.90909091
  0.90909091  0.81818182  0.72727273  1.          0.81818182  0.81818182
  0.81818182  0.72727273  0.81818182  1.          1.          0.90909091
  0.81818182  1.        ]",0.711652930403,0.221011454845,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.939166666667,0.154607477899,"[ 0.33333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.91666667  0.5         1.
  0.83333333  1.          1.          1.          0.75        1.          1.
  0.83333333  1.          1.          1.          1.          0.875       1.
  1.          1.          1.          1.          0.70833333  1.          0.875
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
8,IPCAS_1_proba_csd_con_ROIv_scale125,no_norm,eigenvector_centrality,standard,LR,0.75,0.151942869483,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.756363636364,0.112727272727,"[ 0.63636364  0.63636364  0.81818182  0.81818182  0.45454545  0.81818182
  0.81818182  0.81818182  0.72727273  0.81818182  0.63636364  0.81818182
  0.81818182  0.81818182  0.72727273  0.81818182  0.81818182  0.54545455
  0.63636364  0.63636364  0.72727273  0.72727273  0.90909091  0.63636364
  0.81818182  0.90909091  0.90909091  0.63636364  0.72727273  0.81818182
  0.72727273  0.90909091  0.72727273  0.72727273  0.81818182  0.90909091
  0.72727273  0.81818182  0.63636364  0.90909091  0.81818182  0.81818182
  0.90909091  0.72727273  0.54545455  0.81818182  0.45454545  0.81818182
  0.72727273  0.81818182]",0.580700549451,0.270646882298,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.896666666667,0.188605997312,"[ 0.41666667  0.95833333  1.          1.          0.625       1.          1.
  0.83333333  1.          1.          0.33333333  1.          0.95833333
  1.          1.          1.          1.          0.70833333  0.29166667
  1.          0.70833333  0.75        0.95833333  0.79166667  0.95833333
  1.          1.          1.          1.          1.          0.83333333
  1.          0.875       0.95833333  0.875       1.          1.          1.
  0.33333333  1.          0.91666667  1.          1.          1.          1.
  1.          0.75        1.          1.          1.        ]"
9,IPCAS_1_proba_csd_con_ROIv_scale125,no_norm,eigenvector_centrality,standard,SGD,0.788461538462,0.0456640024928,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.847272727273,0.0880270431775,"[ 0.72727273  0.90909091  0.90909091  0.72727273  0.90909091  0.72727273
  1.          0.81818182  0.90909091  0.81818182  0.72727273  0.90909091
  0.81818182  0.90909091  0.90909091  0.81818182  0.90909091  0.72727273
  0.72727273  0.81818182  0.81818182  0.81818182  0.90909091  0.72727273
  0.81818182  0.90909091  1.          0.81818182  0.90909091  0.90909091
  0.81818182  0.81818182  0.90909091  0.72727273  0.81818182  0.81818182
  1.          1.          0.72727273  1.          0.81818182  0.81818182
  0.90909091  0.81818182  0.90909091  0.90909091  0.63636364  0.90909091
  0.72727273  0.90909091]",0.645947802198,0.259359747898,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.885833333333,0.205448357934,"[ 0.375       0.875       1.          1.          0.79166667  1.          1.
  0.83333333  0.95833333  1.          0.20833333  1.          1.
  0.95833333  1.          1.          1.          0.58333333  0.29166667
  1.          0.70833333  0.875       0.95833333  0.75        0.79166667
  1.          1.          1.          0.95833333  1.          1.          1.
  1.          0.91666667  0.83333333  1.          0.875       1.          0.25
  1.          1.          1.          1.          1.          1.          1.
  0.625       1.          0.875       1.        ]"
