,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csa_con_ROIv_scale33,mean,bag_of_edges,standard,LR,0.642857142857,0.0775181933148,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.706,0.0957287835502,"[ 0.7   0.5   0.5   0.65  0.65  0.5   0.65  0.75  0.85  0.75  0.7   0.8
  0.8   0.7   0.75  0.85  0.75  0.7   0.7   0.8   0.65  0.65  0.65  0.65
  0.7   0.8   0.65  0.8   0.65  0.8   0.6   0.5   0.6   0.8   0.85  0.8
  0.8   0.75  0.85  0.65  0.7   0.7   0.75  0.55  0.7   0.8   0.85  0.65
  0.65  0.7 ]",0.713180272109,0.0603225982363,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.745518650794,0.127977033359,"[ 0.77083333  0.49        0.45        0.58333333  0.72916667  0.484375
  0.71875     0.84        0.71428571  0.82291667  0.83333333  0.83        0.8125
  0.46428571  0.77083333  0.94444444  0.828125    0.46875     0.78125
  0.84375     0.67        0.76190476  0.79        0.75        0.60416667
  0.89        0.60714286  0.88        0.68        0.72619048  0.65625
  0.71428571  0.77380952  0.77083333  0.83333333  0.92708333  0.88095238
  0.875       0.89583333  0.72916667  0.60714286  0.71875     0.90625
  0.61458333  0.86458333  0.89        0.83333333  0.67        0.72916667
  0.8452381 ]"
1,BNU_1_deter_csa_con_ROIv_scale33,mean,bag_of_edges,standard,SGD,0.642857142857,0.0897211603877,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.591,0.113,"[ 0.75  0.35  0.6   0.55  0.75  0.65  0.6   0.45  0.6   0.65  0.75  0.55
  0.5   0.5   0.75  0.9   0.7   0.45  0.65  0.7   0.65  0.4   0.65  0.45
  0.55  0.6   0.45  0.65  0.65  0.55  0.55  0.5   0.4   0.5   0.65  0.6
  0.65  0.75  0.6   0.55  0.55  0.4   0.7   0.6   0.45  0.7   0.65  0.7
  0.5   0.55]",0.731547619048,0.081078114891,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.710019246032,0.129161430834,"[ 0.76041667  0.52        0.49        0.46875     0.875       0.484375    0.5
  0.81        0.73809524  0.78125     0.75        0.64        0.6875
  0.52380952  0.71875     0.94444444  0.859375    0.46875     0.72916667
  0.75        0.73        0.58333333  0.76        0.625       0.54166667
  0.77        0.58333333  0.87        0.7         0.70238095  0.57291667
  0.76190476  0.71428571  0.70833333  0.80952381  0.83333333  0.88095238
  0.828125    0.88541667  0.76041667  0.53571429  0.53125     0.83333333
  0.71875     0.875       0.8         0.8125      0.75        0.66666667
  0.85714286]"
2,BNU_1_deter_csa_con_ROIv_scale33,mean,degrees,standard,LR,0.591836734694,0.11122500988,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.649,0.113793672935,"[ 0.65  0.55  0.6   0.55  0.6   0.7   0.9   0.6   0.75  0.65  0.85  0.7
  0.7   0.45  0.5   0.65  0.7   0.55  0.6   0.6   0.55  0.4   0.6   0.6
  0.6   0.85  0.55  0.8   0.45  0.65  0.55  0.55  0.7   0.7   0.6   0.75
  0.75  0.6   0.8   0.6   0.5   0.75  0.8   0.7   0.85  0.65  0.8   0.5
  0.75  0.65]",0.640051020408,0.134835727525,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.700546031746,0.135921251164,"[ 0.72916667  0.56        0.72        0.61458333  0.52083333  0.71875
  0.72916667  0.58        0.61904762  0.65625     0.98809524  0.71
  0.828125    0.64285714  0.59375     0.86111111  0.515625    0.5
  0.61458333  0.69791667  0.6         0.30952381  0.66        0.75
  0.60416667  0.74        0.53571429  0.76        0.48        0.79761905
  0.8125      0.54761905  0.79761905  0.6875      0.9047619   0.78125
  0.89285714  0.546875    0.83333333  0.86458333  0.70238095  0.890625
  0.73958333  0.66666667  0.92708333  0.76        0.76041667  0.62
  0.91666667  0.73809524]"
3,BNU_1_deter_csa_con_ROIv_scale33,mean,degrees,standard,SGD,0.602040816327,0.142126410992,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.577,0.121330128163,"[ 0.55  0.35  0.75  0.7   0.35  0.55  0.45  0.45  0.45  0.75  0.5   0.5
  0.65  0.55  0.45  0.4   0.55  0.5   0.6   0.6   0.55  0.4   0.55  0.7
  0.45  0.65  0.65  0.6   0.4   0.6   0.55  0.55  0.75  0.7   0.65  0.75
  0.6   0.5   0.7   0.65  0.85  0.5   0.7   0.6   0.7   0.55  0.55  0.4
  0.85  0.55]",0.695408163265,0.0876272353914,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.535011309524,0.169393365608,"[ 0.70833333  0.5         0.56        0.40625     0.48958333  0.5625
  0.59375     0.34        0.36904762  0.51041667  0.86904762  0.3         0.59375
  0.45238095  0.36458333  1.          0.609375    0.578125    0.33333333
  0.5         0.49        0.26190476  0.5         0.5         0.35416667
  0.75        0.38095238  0.53        0.4         0.38095238  0.46875
  0.4047619   0.77380952  0.67708333  0.58333333  0.80208333  0.45238095
  0.359375    0.5         0.77083333  0.27380952  0.75        0.79166667
  0.5         0.60416667  0.64        0.82291667  0.28        0.5
  0.60714286]"
4,BNU_1_deter_csa_con_ROIv_scale33,mean,closeness_centrality,standard,LR,0.642857142857,0.0643297908862,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.65,0.114891252931,"[ 0.75  0.7   0.7   0.5   0.4   0.7   0.55  0.7   0.75  0.65  0.55  0.7
  0.55  0.4   0.6   0.85  0.7   0.55  0.6   0.8   0.55  0.65  0.5   0.65
  0.6   0.45  0.7   0.7   0.7   0.65  0.6   0.8   0.65  0.75  0.85  0.8
  0.85  0.7   0.65  0.7   0.45  0.55  0.85  0.65  0.65  0.75  0.65  0.45
  0.7   0.6 ]",0.696258503401,0.0961442932581,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.702998412698,0.158442020178,"[ 0.78125     0.82        0.79        0.5625      0.34375     0.734375
  0.66666667  0.74        0.92857143  0.67708333  0.98809524  0.68        0.46875
  0.52380952  0.57291667  0.94444444  0.359375    0.421875    0.66666667
  0.9375      0.54        0.72619048  0.64        0.65625     0.58333333
  0.57        0.8452381   0.66        0.61        0.70238095  0.72916667
  0.82142857  0.63095238  0.625       0.96428571  0.84375     0.85714286
  0.734375    0.65625     0.83333333  0.53571429  0.96875     1.
  0.70833333  0.66666667  0.87        0.72916667  0.47        0.69791667
  0.66666667]"
5,BNU_1_deter_csa_con_ROIv_scale33,mean,closeness_centrality,standard,SGD,0.673469387755,0.10106677971,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.583,0.138061580463,"[ 0.75  0.6   0.75  0.9   0.4   0.7   0.7   0.6   0.8   0.45  0.6   0.6
  0.2   0.6   0.7   0.55  0.5   0.45  0.6   0.65  0.4   0.35  0.55  0.7
  0.55  0.55  0.7   0.5   0.55  0.35  0.7   0.55  0.6   0.55  0.7   0.65
  0.6   0.65  0.55  0.75  0.55  0.4   0.85  0.6   0.55  0.75  0.6   0.35
  0.5   0.4 ]",0.719727891156,0.0955711272083,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.71193234127,0.161784058822,"[ 0.70833333  0.82        0.79        0.5625      0.3125      0.734375
  0.6875      0.76        0.9047619   0.70833333  0.98809524  0.86        0.46875
  0.53571429  0.57291667  0.86111111  0.265625    0.421875    0.66666667
  0.9375      0.54        0.96428571  0.66        0.65625     0.63541667
  0.57        0.8452381   0.66        0.61        0.76190476  0.69791667
  0.8452381   0.70238095  0.57291667  0.80952381  0.88541667  0.82142857
  0.78125     0.67708333  0.83333333  0.72619048  0.96875     0.96875
  0.70833333  0.66666667  0.87        0.73958333  0.44        0.69791667
  0.71428571]"
6,BNU_1_deter_csa_con_ROIv_scale33,mean,betweenness_centrality,standard,LR,0.571428571429,0.0887683422967,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.583,0.119837389825,"[ 0.65  0.55  0.65  0.5   0.6   0.55  0.6   0.7   0.85  0.65  0.3   0.55
  0.65  0.55  0.65  0.6   0.6   0.55  0.6   0.8   0.6   0.45  0.3   0.75
  0.6   0.5   0.7   0.6   0.35  0.6   0.45  0.55  0.55  0.55  0.55  0.75
  0.45  0.6   0.4   0.6   0.9   0.45  0.6   0.6   0.55  0.65  0.5   0.75
  0.5   0.6 ]",0.650595238095,0.137275765418,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.636830357143,0.152462959617,"[ 0.75        0.55        0.64        0.59375     0.60416667  0.6875      0.625
  0.75        0.92857143  0.63541667  0.4047619   0.43        0.609375
  0.42857143  0.73958333  1.          0.734375    0.5625      0.69791667
  0.84375     0.63        0.52380952  0.34        0.75        0.61458333
  0.6         0.61904762  0.53        0.37        0.77380952  0.40625     0.5
  0.71428571  0.60416667  0.66666667  0.89583333  0.46428571  0.546875
  0.375       0.85416667  0.97619048  0.625       0.6875      0.57291667
  0.6875      0.76        0.51041667  0.65        0.60416667  0.77380952]"
7,BNU_1_deter_csa_con_ROIv_scale33,mean,betweenness_centrality,standard,SGD,0.602040816327,0.0862833394147,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.538,0.136586968632,"[ 0.5   0.55  0.4   0.55  0.65  0.4   0.55  0.75  0.6   0.6   0.4   0.45
  0.55  0.45  0.65  0.25  0.55  0.5   0.5   0.9   0.5   0.45  0.45  0.7
  0.55  0.6   0.7   0.6   0.35  0.45  0.4   0.4   0.6   0.65  0.6   0.9
  0.4   0.25  0.55  0.65  0.55  0.3   0.75  0.6   0.6   0.65  0.5   0.45
  0.45  0.55]",0.648214285714,0.131321854319,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.646842857143,0.152023729915,"[ 0.76041667  0.57        0.64        0.65625     0.625       0.703125
  0.66666667  0.76        0.98809524  0.66666667  0.42857143  0.45        0.65625
  0.42857143  0.72916667  1.          0.734375    0.625       0.6875
  0.88541667  0.66        0.54761905  0.38        0.75        0.625       0.67
  0.64285714  0.54        0.35        0.72619048  0.36458333  0.52380952
  0.6547619   0.625       0.66666667  0.88541667  0.52380952  0.5625
  0.41666667  0.8125      0.97619048  0.5625      0.76041667  0.5625
  0.69791667  0.7         0.46875     0.64        0.55208333  0.83333333]"
8,BNU_1_deter_csa_con_ROIv_scale33,mean,eigenvector_centrality,standard,LR,0.69387755102,0.0629665243775,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.616,0.117234807118,"[ 0.6   0.55  0.65  0.75  0.4   0.55  0.55  0.6   0.55  0.65  0.7   0.6
  0.55  0.6   0.55  0.55  0.55  0.45  0.7   0.65  0.6   0.45  0.6   0.55
  0.85  0.65  0.6   0.75  0.4   0.85  0.55  0.4   0.7   0.65  0.7   0.65
  0.5   0.5   0.85  0.75  0.7   0.4   0.6   0.65  0.75  0.6   0.7   0.5
  0.85  0.75]",0.767431972789,0.0681063899324,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.70655218254,0.151433268309,"[ 0.65625     0.69        0.69        0.73958333  0.5         0.5625
  0.72916667  0.69        0.6547619   0.84375     0.75        0.83        0.78125
  0.57142857  0.29166667  0.97222222  0.53125     0.453125    0.8125
  0.80208333  0.66        0.42857143  0.66        0.83333333  0.78125     0.67
  0.82142857  0.72        0.36        0.77380952  0.6875      0.51190476
  0.85714286  0.8125      0.82142857  0.71875     0.61904762  0.5
  0.80208333  0.83333333  0.86904762  0.78125     0.875       0.80208333
  0.875       0.62        0.84375     0.47        0.95833333  0.80952381]"
9,BNU_1_deter_csa_con_ROIv_scale33,mean,eigenvector_centrality,standard,SGD,0.704081632653,0.0559934613373,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.596,0.12916655914,"[ 0.5   0.65  0.45  0.35  0.6   0.55  0.55  0.5   0.7   0.75  0.55  0.5
  0.6   0.5   0.35  0.45  0.65  0.5   0.65  0.7   0.55  0.5   0.7   0.7
  0.55  0.65  0.7   0.7   0.45  0.55  0.5   0.25  0.7   0.8   0.6   0.65
  0.5   0.5   0.65  0.6   0.85  0.65  0.9   0.65  0.7   0.6   0.7   0.4
  0.7   0.8 ]",0.740816326531,0.109668252293,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.696884920635,0.153645872135,"[ 0.61458333  0.71        0.74        0.63541667  0.47916667  0.515625
  0.76041667  0.73        0.67857143  0.75        0.94047619  0.61        0.8125
  0.51190476  0.33333333  0.97222222  0.5         0.5625      0.79166667
  0.70833333  0.64        0.42857143  0.6         0.875       0.85416667
  0.6         0.67857143  0.7         0.33        0.83333333  0.67708333
  0.52380952  0.78571429  0.78125     0.73809524  0.64583333  0.66666667
  0.53125     0.77083333  0.86458333  0.88095238  0.828125    0.85416667
  0.85416667  0.86458333  0.62        0.86458333  0.47        0.91666667
  0.80952381]"
