,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csa_con_aparc68+subcort,no_norm,bag_of_edges,standard,LR,0.785714285714,0.0996023841112,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.771,0.097,"[ 0.75  0.65  0.7   0.75  0.85  0.75  0.75  0.75  0.8   0.8   0.75  0.7
  0.8   0.4   0.8   0.85  0.9   0.6   0.85  0.85  0.85  0.8   0.85  0.75
  0.75  0.8   0.8   0.75  0.8   0.8   0.7   0.7   0.8   0.8   0.8   0.9
  0.65  0.95  0.85  0.75  0.75  0.6   0.8   0.75  0.8   0.95  0.9   0.65
  0.6   0.85]",0.815391156463,0.102072327192,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.8216375,0.131564261026,"[ 0.79166667  0.68        0.67        0.73958333  0.84375     0.8125
  0.79166667  0.82        0.76190476  0.875       0.71428571  0.76        0.90625
  0.29761905  0.88541667  0.91666667  0.984375    0.5625      0.9375
  0.96875     0.91        0.88095238  0.94        0.875       0.73958333
  0.93        0.85714286  0.9         0.83        0.70238095  0.55208333
  0.80952381  0.77380952  0.80208333  0.64285714  0.98958333  0.83333333
  1.          0.94791667  0.94791667  0.79761905  0.8125      0.97916667
  0.78125     0.88541667  0.99        0.89583333  0.73        0.69791667
  0.92857143]"
1,BNU_1_deter_csa_con_aparc68+subcort,no_norm,bag_of_edges,standard,SGD,0.724489795918,0.0647778377474,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.65,0.118321595662,"[ 0.5   0.55  0.5   0.65  0.75  0.7   0.4   0.6   0.85  0.8   0.7   0.7
  0.55  0.55  0.85  0.85  0.8   0.65  0.75  0.8   0.85  0.5   0.7   0.6
  0.8   0.6   0.65  0.65  0.45  0.55  0.55  0.7   0.45  0.5   0.7   0.65
  0.6   0.7   0.8   0.65  0.6   0.5   0.65  0.55  0.7   0.5   0.8   0.75
  0.6   0.7 ]",0.807142857143,0.0700567675551,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.762990873016,0.127520761403,"[ 0.6875      0.62        0.56        0.63541667  0.83333333  0.5         0.6875
  0.83        0.83333333  0.79166667  0.70238095  0.71        0.84375
  0.44047619  0.90625     0.80555556  1.          0.40625     0.85416667
  0.92708333  0.97        0.70238095  0.8         0.89583333  0.63541667
  0.72        0.85714286  0.79        0.7         0.77380952  0.57291667
  0.85714286  0.64285714  0.79166667  0.78571429  0.8125      0.77380952
  0.921875    0.875       0.75        0.80952381  0.609375    0.82291667
  0.79166667  0.8125      0.89        0.77083333  0.69        0.83333333
  0.91666667]"
2,BNU_1_deter_csa_con_aparc68+subcort,no_norm,degrees,standard,LR,0.714285714286,0.151148288077,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.721,0.126921235418,"[ 0.6   0.6   0.75  0.8   0.65  0.75  0.65  0.65  0.75  0.75  0.8   0.7
  0.65  0.3   0.8   0.85  0.7   0.6   0.9   1.    0.8   0.65  0.8   0.75
  0.7   0.7   0.65  0.75  0.55  0.6   0.65  0.9   0.6   0.7   0.8   0.75
  0.75  0.75  0.65  0.85  0.8   0.4   0.95  0.8   0.85  0.8   0.85  0.5
  0.7   0.8 ]",0.856292517007,0.109358773331,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.856611904762,0.132643049914,"[ 0.78125     0.61        0.86        0.8125      0.77083333  0.890625
  0.90625     0.81        0.89285714  0.72916667  0.91666667  0.88        0.9375
  0.3452381   0.9375      0.91666667  0.984375    0.5         0.95833333
  1.          0.98        0.70238095  0.99        0.91666667  0.83333333
  0.94        0.9047619   0.9         0.73        0.75        0.66666667
  0.92857143  0.80952381  0.82291667  0.92857143  0.92708333  0.88095238
  0.984375    0.8125      0.95833333  0.95238095  0.921875    1.
  0.94791667  0.8125      0.97        0.9375      0.61        0.89583333
  0.97619048]"
3,BNU_1_deter_csa_con_aparc68+subcort,no_norm,degrees,standard,SGD,0.80612244898,0.105392790717,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.702,0.113560556533,"[ 0.6   0.55  0.65  0.85  0.7   0.65  0.7   0.7   0.8   0.7   0.7   0.65
  0.7   0.35  0.75  0.7   0.8   0.55  0.85  0.8   0.85  0.6   0.75  0.8
  0.75  0.85  0.65  0.75  0.6   0.7   0.7   0.55  0.7   0.6   0.8   0.65
  0.65  0.65  0.65  0.85  0.85  0.4   0.85  0.8   0.7   0.85  0.75  0.5
  0.75  0.8 ]",0.880782312925,0.0770455934757,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.810008730159,0.127906047417,"[ 0.76041667  0.5         0.83        0.84375     0.78125     0.875
  0.82291667  0.84        0.85714286  0.67708333  0.8452381   0.7         0.90625
  0.35714286  0.86458333  0.97222222  0.828125    0.546875    0.9375      0.875
  0.97        0.69047619  0.88        0.88541667  0.82291667  0.97        0.75
  0.86        0.65        0.73809524  0.70833333  0.85714286  0.78571429
  0.75        0.92857143  0.78125     0.79761905  0.765625    0.77083333
  0.95833333  0.89285714  0.828125    0.97916667  0.91666667  0.73958333
  0.94        0.90625     0.54        0.86458333  0.95238095]"
4,BNU_1_deter_csa_con_aparc68+subcort,no_norm,closeness_centrality,standard,LR,0.69387755102,0.12393280847,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.69,0.12124355653,"[ 0.75  0.55  0.5   0.7   0.75  0.65  0.8   0.5   0.6   0.6   0.65  0.6
  0.75  0.45  0.7   0.85  0.65  0.7   0.85  0.8   1.    0.65  0.9   0.75
  0.6   0.75  0.9   0.7   0.7   0.65  0.55  0.6   0.8   0.8   0.7   0.7
  0.5   0.65  0.8   0.7   0.7   0.65  0.65  0.65  0.6   0.75  0.75  0.35
  0.75  0.85]",0.762329931973,0.0980438968731,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.759017460317,0.154361282966,"[ 0.96875     0.38        0.77        0.91666667  0.625       0.65625
  0.94791667  0.7         0.6547619   0.64583333  0.66666667  0.86
  0.703125    0.70238095  0.8125      0.86111111  0.859375    0.734375
  0.75        0.9375      1.          0.6547619   0.91        0.91666667
  0.84375     0.93        0.73809524  0.7         0.69        0.54761905
  0.36458333  0.64285714  0.69047619  0.94791667  0.8452381   0.9375
  0.80952381  0.734375    0.91666667  0.66666667  0.78571429  0.6875
  0.86458333  0.73958333  0.625       0.82        0.6875      0.3
  0.80208333  1.        ]"
5,BNU_1_deter_csa_con_aparc68+subcort,no_norm,closeness_centrality,standard,SGD,0.734693877551,0.127856776389,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.703,0.164745257898,"[ 0.8   0.5   0.4   0.55  0.75  0.5   0.95  0.75  0.85  0.5   0.9   0.65
  0.55  0.6   0.7   0.65  0.6   0.7   0.8   0.9   0.95  0.55  0.95  0.9
  0.7   0.8   0.75  0.6   0.6   0.75  0.3   0.5   0.85  0.85  0.8   0.85
  0.8   0.6   0.9   0.7   0.8   0.7   0.65  0.65  0.55  0.85  0.75  0.25
  0.95  0.7 ]",0.788605442177,0.087476817103,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.719983333333,0.179342816347,"[ 0.875       0.36        0.54        0.88541667  0.71875     0.765625
  0.94791667  0.57        0.61904762  0.54166667  0.66666667  0.76        0.875
  0.5952381   0.69791667  0.83333333  0.875       0.96875     0.73958333
  0.90625     0.5         0.46428571  0.92        0.92708333  0.70833333
  0.96        0.76190476  0.69        0.67        0.53571429  0.40625
  0.33333333  0.70238095  0.86458333  0.9047619   0.94791667  0.73809524
  0.765625    0.90625     0.625       0.86904762  0.625       0.875
  0.71875     0.44791667  0.77        0.61458333  0.28        0.75
  0.97619048]"
6,BNU_1_deter_csa_con_aparc68+subcort,no_norm,betweenness_centrality,standard,LR,0.551020408163,0.127126276931,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.47,0.107703296143,"[ 0.45  0.35  0.4   0.35  0.6   0.4   0.35  0.65  0.5   0.45  0.3   0.25
  0.45  0.45  0.5   0.45  0.5   0.4   0.5   0.65  0.6   0.55  0.55  0.65
  0.6   0.55  0.35  0.6   0.4   0.45  0.35  0.35  0.4   0.45  0.7   0.45
  0.55  0.5   0.5   0.3   0.65  0.3   0.45  0.6   0.55  0.55  0.4   0.4
  0.4   0.4 ]",0.528741496599,0.145522859248,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.505890277778,0.145109051914,"[ 0.5         0.49        0.41        0.26041667  0.72916667  0.515625    0.5
  0.53        0.42857143  0.4375      0.3452381   0.32        0.296875
  0.32142857  0.65625     0.88888889  0.546875    0.546875    0.5625
  0.72916667  0.46        0.42857143  0.41        0.82291667  0.41666667
  0.5         0.54761905  0.64        0.38        0.54761905  0.40625
  0.26190476  0.39285714  0.59375     0.75        0.51041667  0.55952381
  0.5625      0.46875     0.4375      0.6547619   0.359375    0.5
  0.72916667  0.72916667  0.64        0.32291667  0.36        0.375
  0.51190476]"
7,BNU_1_deter_csa_con_aparc68+subcort,no_norm,betweenness_centrality,standard,SGD,0.571428571429,0.112435418601,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.462,0.095163018027,"[ 0.45  0.5   0.45  0.3   0.55  0.3   0.4   0.45  0.5   0.45  0.55  0.4
  0.25  0.35  0.55  0.4   0.35  0.55  0.45  0.6   0.55  0.5   0.35  0.6
  0.45  0.5   0.4   0.55  0.4   0.45  0.45  0.4   0.45  0.45  0.7   0.45
  0.45  0.5   0.5   0.4   0.65  0.25  0.65  0.4   0.55  0.55  0.45  0.45
  0.45  0.4 ]",0.551275510204,0.141958867526,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.492273214286,0.132352171992,"[ 0.47916667  0.37        0.43        0.375       0.61458333  0.46875
  0.34375     0.42        0.45238095  0.41666667  0.6547619   0.41
  0.265625    0.30952381  0.625       0.58333333  0.21875     0.484375
  0.53125     0.71875     0.49        0.42857143  0.28        0.77083333
  0.625       0.56        0.32142857  0.65        0.45        0.55952381
  0.48958333  0.33333333  0.67857143  0.5         0.79761905  0.39583333
  0.58333333  0.46875     0.41666667  0.48958333  0.5952381   0.609375
  0.69791667  0.4375      0.65625     0.55        0.36458333  0.43
  0.39583333  0.41666667]"
8,BNU_1_deter_csa_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,LR,0.714285714286,0.0828215577663,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.638,0.131742172443,"[ 0.35  0.5   0.7   0.6   0.6   0.6   0.75  0.65  0.65  0.85  0.5   0.6
  0.65  0.5   0.45  0.55  0.65  0.4   0.7   0.75  0.6   0.55  0.7   0.65
  0.65  0.75  0.75  0.7   0.35  0.85  0.65  0.4   0.75  0.6   0.8   0.7
  0.45  0.55  0.65  0.75  0.75  0.7   0.7   0.6   0.75  0.7   0.75  0.4
  0.95  0.75]",0.770493197279,0.0353451833098,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.673229960317,0.143119100942,"[ 0.47916667  0.58        0.66        0.57291667  0.55208333  0.53125
  0.76041667  0.72        0.71428571  0.78125     0.57142857  0.73        0.71875
  0.54761905  0.48958333  0.94444444  0.484375    0.3125      0.78125     0.75
  0.55        0.41666667  0.71        0.80208333  0.75        0.71
  0.80952381  0.67        0.37        0.78571429  0.72916667  0.52380952
  0.79761905  0.69791667  0.85714286  0.67708333  0.71428571  0.484375
  0.69791667  0.80208333  0.80952381  0.703125    0.78125     0.65625
  0.85416667  0.76        0.80208333  0.42        0.94791667  0.69047619]"
9,BNU_1_deter_csa_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,SGD,0.714285714286,0.0616294243121,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.647,0.136897772078,"[ 0.5   0.6   0.6   0.4   0.65  0.7   0.75  0.85  0.65  0.9   0.75  0.65
  0.65  0.55  0.45  0.55  0.7   0.3   0.6   0.7   0.6   0.5   0.75  0.8
  0.65  0.65  0.75  0.75  0.25  0.85  0.55  0.4   0.7   0.65  0.75  0.65
  0.45  0.65  0.7   0.75  0.7   0.6   0.6   0.65  0.75  0.7   0.75  0.6
  0.9   0.8 ]",0.796343537415,0.0426415098849,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.687406547619,0.144635091895,"[ 0.53125     0.49        0.65        0.5625      0.5625      0.578125
  0.78125     0.83        0.64285714  0.83333333  0.70238095  0.74
  0.734375    0.5952381   0.4375      0.91666667  0.515625    0.4375
  0.66666667  0.65625     0.57        0.45238095  0.69        0.86458333
  0.75        0.76        0.78571429  0.68        0.32        0.9047619
  0.70833333  0.51190476  0.82142857  0.72916667  0.79761905  0.63541667
  0.69047619  0.546875    0.8125      0.79166667  0.86904762  0.859375
  0.77083333  0.625       0.875       0.68        0.80208333  0.47
  0.95833333  0.77380952]"
